SMI,Natoms,atoms,coords(Ang),S1_SCSPBEQIDH(eV),T1_SCSPBEQIDH(eV),f01_SCSPBEQIDH(au),S1_ADC2(eV),T1_ADC2(eV),f01_ADC2(au)
'C1CN1',8,"['C','C','N','H','H','H','H','H']","[[0.738519,-0.394885,0.023737],[-0.738519,-0.394885,0.023737],[0.0,0.849548,-0.172046],[1.276872,-0.747254,-0.847373],[1.244917,-0.556892,0.968566],[-1.244917,-0.556892,0.968566],[-1.276872,-0.747254,-0.847373],[0.0,1.400076,0.677088]]",7.306,7.021,0.004509011,7.044466,6.784636,0.003494
'C1CO1',7,"['C','C','O','H','H','H','H']","[[-0.0,0.729549,-0.367364],[-0.0,-0.729549,-0.367364],[0.0,0.0,0.845033],[-0.918945,1.264243,-0.587975],[0.918945,1.264243,-0.587975],[0.918945,-1.264243,-0.587975],[-0.918945,-1.264243,-0.587975]]",8.522,7.926,0.003843695,8.047626,7.597616,0.015899
'CC(C)C',14,"['C','C','C','C','H','H','H','H','H','H','H','H','H','H']","[[0.0,1.45165,-0.095596],[0.0,0.0,0.37397],[-1.257166,-0.725825,-0.095596],[1.257166,-0.725825,-0.095596],[-0.883424,1.984676,0.26212],[0.0,1.501511,-1.188416],[0.883424,1.984676,0.26212],[0.0,0.0,1.469429],[-1.300347,-0.750756,-1.188416],[-2.160492,-0.22727,0.26212],[-1.277068,-1.757406,0.26212],[1.300347,-0.750756,-1.188416],[1.277068,-1.757406,0.26212],[2.160492,-0.22727,0.26212]]",9.668,9.258,0.001589284,9.628384,9.177593,0.003072
'CC(C)N',13,"['C','C','C','N','H','H','H','H','H','H','H','H','H']","[[1.366423,-0.456469,0.083149],[-0.002439,0.0282,-0.371099],[-1.109949,-0.908187,0.111424],[-0.176881,1.416285,0.051767],[1.560436,-1.47097,-0.268653],[1.423964,-0.466564,1.176104],[2.149688,0.202349,-0.291591],[-0.013482,0.034396,-1.465749],[-1.122154,-0.951524,1.204524],[-0.967386,-1.924009,-0.264825],[-2.089387,-0.559249,-0.223385],[-0.143899,1.476463,1.06314],[-1.083816,1.763854,-0.232776]]",6.887,6.583,0.024988122,6.680035,6.386614,0.028576
'CC(C)O',12,"['C','C','C','O','H','H','H','H','H','H','H','H']","[[0.285087,-0.607957,1.262791],[0.285087,0.240222,-0.0],[0.285087,-0.607957,-1.262791],[-0.797095,1.158889,-0.0],[1.166517,-1.250835,1.303399],[-0.599622,-1.251672,1.291291],[0.276112,0.027904,2.148261],[1.175051,0.874174,0.0],[-0.599622,-1.251672,-1.291291],[1.166517,-1.250835,-1.303399],[0.276112,0.027904,-2.148261],[-1.615871,0.658074,-0.0]]",7.699,7.376,0.011042430,7.358948,7.060483,0.015833
'CC(C)F',11,"['C','C','C','F','H','H','H','H','H','H','H']","[[0.277333,-0.584791,1.266435],[0.277333,0.240902,0.0],[0.277333,-0.584791,-1.266435],[-0.86611,1.045038,0.0],[1.18661,-1.185799,1.322731],[-0.58352,-1.255559,1.281979],[0.234265,0.060152,2.144041],[1.128289,0.92915,0.0],[-0.58352,-1.255559,-1.281979],[1.18661,-1.185799,-1.322731],[0.234265,0.060152,-2.144041]]",10.006,9.546,0.010804880,9.723717,9.291286,0.017860
'CC(F)F',8,"['C','C','F','F','H','H','H','H']","[[-0.897249,1.038919,-0.0],[0.320937,0.161317,0.0],[0.320937,-0.648595,1.094762],[0.320937,-0.648595,-1.094762],[-0.895508,1.670909,0.88741],[-1.79301,0.418273,-0.0],[-0.895508,1.670909,-0.88741],[1.265025,0.713197,0.0]]",10.636,10.071,0.062881444,10.332524,9.797833,0.046249
'FC(F)F',5,"['F','C','F','F','H']","[[0.0,1.248828,-0.127694],[0.0,0.0,0.33659],[-1.081517,-0.624414,-0.127694],[1.081517,-0.624414,-0.127694],[0.0,0.0,1.428187]]",12.537,11.409,0.180427382,12.239238,11.173581,0.119966
'CN(C)C',13,"['C','N','C','C','H','H','H','H','H','H','H','H','H']","[[0.361738,-1.331119,0.060074],[-1e-06,1e-06,-0.372896],[-1.333654,0.352287,0.060074],[0.971919,0.978833,0.060075],[-0.35695,-2.056149,-0.325664],[0.387979,-1.427583,1.161025],[1.348508,-1.5927,-0.325717],[-2.053571,-0.371504,-0.325696],[-1.602212,1.337193,-0.325686],[-1.430321,0.377808,1.161024],[1.959137,0.718988,-0.325742],[1.042403,1.049729,1.161025],[0.70502,1.964207,-0.325639]]",6.537,6.370,0.056550681,6.238219,6.054247,0.050607
'CC(C)=C',12,"['C','C','C','C','H','H','H','H','H','H','H','H']","[[-1.268864,-0.676184,2e-06],[0.0,0.125095,-0.0],[1.268864,-0.676184,1e-06],[0.0,1.452092,-4e-06],[-1.312939,-1.327375,-0.87772],[-2.151812,-0.037729,1e-06],[-1.312938,-1.327371,0.877728],[1.312939,-1.32737,0.877727],[2.151812,-0.037729,-1e-06],[1.312938,-1.327376,-0.87772],[-0.924102,2.018017,-5e-06],[0.924102,2.018017,-6e-06]]",7.821,4.530,0.000212057,7.811954,4.716999,0.000834
'CC(C)=O',10,"['C','C','C','O','H','H','H','H','H','H']","[[1.282913,-0.61073,-0.001499],[0.0,0.186642,0.0],[-1.282913,-0.61073,0.001499],[0.0,1.391085,0.0],[1.284776,-1.328154,-0.825063],[1.357355,-1.1871,0.924016],[2.138247,0.055368,-0.085423],[-1.284776,-1.328155,0.825063],[-1.357355,-1.1871,-0.924016],[-2.138247,0.055368,0.085423]]",4.566,4.083,0.000000126,4.488160,4.088395,0.000000
'CC(N)=N',10,"['C','C','N','N','H','H','H','H','H','H']","[[1.342268,-0.378426,-0.001575],[-0.077058,0.129622,-0.000441],[-1.027195,-0.86035,-0.063664],[-0.442972,1.347713,0.013141],[1.526215,-1.001144,0.877195],[2.049168,0.448297,0.008412],[1.525457,-0.9896,-0.887159],[-0.78751,-1.778981,0.260488],[-1.973341,-0.562933,0.103095],[0.359923,1.965648,0.003722]]",6.519,5.137,0.001979572,6.455733,5.300082,0.003839
'CC(N)=O',9,"['C','C','N','O','H','H','H','H','H']","[[1.357296,-0.337982,-0.000805],[-0.075881,0.146615,-0.00836],[-1.026304,-0.826371,-0.003263],[-0.359693,1.323799,0.000635],[1.752267,-0.229864,1.010576],[1.943631,0.300753,-0.657919],[1.46483,-1.378012,-0.308963],[-0.796452,-1.800954,-0.000402],[-1.991097,-0.549519,0.029459]]",5.828,5.476,0.000770809,5.687769,5.412401,0.000362
'CC(O)=O',8,"['C','C','O','O','H','H','H','H']","[[1.049303,-0.917087,0.0],[0.0,0.153834,0.0],[-1.242115,-0.365802,0.0],[0.200845,1.336248,0.0],[0.928249,-1.550399,0.879332],[2.034767,-0.461261,0.0],[0.928249,-1.550399,-0.879332],[-1.856919,0.378011,0.0]]",6.004,5.600,0.001365436,5.909926,5.586339,0.000610
'CC(F)=C',9,"['C','C','F','C','H','H','H','H','H']","[[1.339953,-0.414501,-1e-06],[-0.09913,-0.045428,-1e-06],[-0.274127,1.291509,3e-06],[-1.154377,-0.837247,-2e-06],[1.834749,-0.00221,-0.881666],[1.457708,-1.496212,-3e-06],[1.834749,-0.002214,0.881666],[-1.022968,-1.908814,-5e-06],[-2.155768,-0.431074,-1e-06]]",8.135,4.653,0.009931962,7.934592,4.794894,0.480422
'NC(N)=N',9,"['N','C','N','N','H','H','H','H','H']","[[0.965811,-0.891948,0.074042],[0.018057,0.121417,5e-05],[-1.274041,-0.370365,-0.079809],[0.226984,1.376419,0.009111],[0.749393,-1.718792,-0.458636],[1.918309,-0.590648,-0.038535],[-1.463146,-1.172931,0.498317],[-1.95995,0.360564,0.015703],[1.215776,1.594567,-0.040558]]",6.725,5.571,0.003408806,6.554665,5.724431,0.003588
'NC(N)=O',8,"['N','C','N','O','H','H','H','H']","[[1.15498,-0.606629,0.067229],[0.0,0.142701,0.0],[-1.15498,-0.606629,-0.067229],[0.0,1.352983,-0.0],[1.156688,-1.523584,-0.343886],[1.993119,-0.07005,-0.073134],[-1.156688,-1.523584,0.343886],[-1.993119,-0.070049,0.073134]]",6.718,6.476,0.000994725,6.591711,6.331374,0.001334
'OC(O)=O',6,"['O','C','O','O','H','H']","[[-0.0,1.141374,-0.553437],[0.0,-0.0,0.166301],[-0.0,-1.141374,-0.553437],[0.0,-0.0,1.349267],[-0.254955,1.005595,-1.468478],[0.254955,-1.005595,-1.468478]]",7.115,6.886,0.000040576,7.070593,6.765581,0.000192
'FC(F)=C',6,"['F','C','F','C','H','H']","[[0.0,1.073917,-0.692949],[0.0,0.0,0.063994],[-0.0,-1.073917,-0.692949],[0.0,0.0,1.377591],[0.0,0.936064,1.911784],[-0.0,-0.936064,1.911784]]",8.635,4.923,0.541811893,8.366521,5.059730,0.432308
'CCCC',14,"['C','C','C','C','H','H','H','H','H','H','H','H','H','H']","[[0.701173,1.821398,0.0],[0.701173,0.29869,0.0],[-0.701173,-0.29869,0.0],[-0.701173,-1.821398,0.0],[1.716272,2.221769,0.0],[0.187813,2.212756,0.881524],[0.187813,2.212756,-0.881524],[1.247097,-0.068606,0.875027],[1.247097,-0.068606,-0.875027],[-1.247097,0.068606,-0.875027],[-1.247097,0.068606,0.875027],[-0.187813,-2.212756,-0.881524],[-1.716272,-2.221769,0.0],[-0.187813,-2.212756,0.881524]]",9.685,9.306,0.000000000,9.642175,9.257414,0.000000
