Index	Formation_Energy_eV	Atomization_Energy_eV	Bandgap_eV	Bandgap_nm	Smallest_Direct_Bandgap_eV	Smallest_Direct_Bandgap_nm	No_of_im_wave_nos_dimensionless	Lowest_wave_no_cm-1	Lowest_wave_no_THz	q*_A-1	I1/I3_dimensionless	I2/I3_dimensionless
367	0.675031	-4.455798293	5.09415299	243.3852846	5.29854818	233.9965276	1	-11.845103	-0.3551067119	0.5	0.239021	0.938934
368	0.323845	-4.384153462	5.51449401	224.8332981	5.53926879	223.8277149	1	-4.50987	-0.1352022947	0.35	0.312085	0.994248
369	1.054834	-4.399385716	3.53936939	350.3002198	3.57744084	346.5722931	2	-14.736985	-0.4418030207	0.5	0.202045	0.948701
370	0.402274	-4.414804116	4.62011368	268.3574391	4.62011368	268.3574391	4	-22.486431	-0.6741252122	0	0.205985	0.994391
371	0.274573	-4.378914411	4.99880761	248.0275242	4.99880761	248.0275242	1	-14.725659	-0.4414634763	0.5	0.210329	0.997849
372	0.384941	-4.173424641	3.90843469	317.2221039	3.90843469	317.2221039	1	-14.902648	-0.4467694649	0.5	0.261753	0.946817
373	0.682313	-4.235276174	2.85863816	433.7176677	2.94098813	421.5732334	1	-20.058591	-0.6013405113	0.5	0.218243	0.964351
374	0.12222	-4.313718555	3.98899055	310.815947	4.19903331	295.2684068	2	-18.710442	-0.5609240828	0.5	0.245008	0.990941
375	0.208024	-4.350341919	4.5904736	270.0901875	4.7744332	259.6835736	1	-14.021182	-0.4203438194	0.5	0.270411	0.93763
376	0.344512	-4.308975791	5.43111588	228.2849239	5.43111588	228.2849239	1	-22.348223	-0.669981847	0.5	0.207702	0.988296
377	0.453543	-4.199944626	5.18913224	238.9304836	5.23786519	236.7074811	4	-30.333391	-0.9093707955	0	0.179182	0.985918
378	0.092352	-4.629904294	6.55105459	189.2583642	6.55105459	189.2583642	1	-29.12988	-0.8732904985	0.5	0.377329	0.892055
379	0.90043	-4.55378988	3.68359955	336.584327	3.78290013	327.7490372	1	-5.869228	-0.1759547601	0.5	0.20554	0.954247
380	0.461621	-4.533836199	5.24186703	236.5267696	5.24186703	236.5267696	1	-12.214517	-0.366181448	0.5	0.244582	0.951047
381	0.497295	-4.498161914	5.07032504	244.5290717	5.07715618	244.2000662	1	-2.02331	-0.06065721515	0.13	0.23785	0.959208
382	0.398606	-4.43510939	5.56148552	222.9335797	5.56389416	222.8370705	1	-4.047809	-0.1213500756	0.14	0.2281	0.9532
383	0.566424	-4.428926639	7.72040595	160.5928346	7.73103166	160.372112	1	-2.663153	-0.07983919642	0.5	0.180514	0.99201
384	0.423315	-4.410400078	5.59298981	221.6778356	5.59298981	221.6778356	1	-10.748899	-0.3222433929	0.5	0.231873	0.953299
385	0.905952	-4.428958074	4.80617903	257.9683086	4.93298272	251.3371617	3	-32.059389	-0.9611148347	0	0.148443	0.97922
386	1.080861	-4.254049027	4.03912525	306.9580166	4.04659846	306.3911301	2	-5.509201	-0.1651614386	0.5	0.187639	0.953641
387	0.491249	-4.342466019	5.50839849	225.0820956	5.50839849	225.0820956	1	-2.606165	-0.07813074177	0.13	0.234174	0.94573
388	0.349635	-4.484080121	6.22299944	199.2354149	6.22299944	199.2354149	1	-8.625677	-0.2585908959	0.5	0.24083	0.951712
389	0.463547	-4.370168678	5.04747423	245.6360982	5.04747423	245.6360982	1	-13.645962	-0.409095024	0.5	0.235406	0.969795
390	0.894108	-4.236721526	3.77525928	328.4123774	3.89247799	318.5225141	1	-8.071156	-0.2419668	0.5	0.236066	0.904326
391	0.33437	-4.361610166	3.69534442	335.514565	3.69534442	335.514565	1	-15.524617	-0.465415598	0.5	0.43223	0.907854
392	0.886922	-4.243907263	3.71819019	333.4530543	3.81154349	325.2860367	1	-19.675236	-0.5898478351	0.5	0.24381	0.958586
393	0.499195	-4.208804145	3.64296235	340.338921	3.64296235	340.338921	1	-0.36875	-0.01105483	0.02	0.304712	0.902847
394	0.795686	-4.33514405	3.56233494	348.0419153	3.64808321	339.861183	1	-13.872679	-0.4158918183	0.49	0.240577	0.957887
395	0.627568	-4.503261992	4.3102646	287.648669	4.54702659	272.6709094	1	-11.641463	-0.3490017476	0.5	0.24599	0.938475
396	0.307765	-4.400233728	4.69521326	264.0650822	4.69521326	264.0650822	1	-12.906009	-0.386911825	0.5	0.311333	0.893927
397	0.880127	-4.250702653	4.25186109	291.5998075	4.34819101	285.1396989	1	-14.846451	-0.4450847238	0.5	0.240523	0.951248
398	0.503582	-4.204417024	4.36517535	284.0302568	4.36804452	283.8436902	1	-11.150176	-0.3342733563	0.5	0.302816	0.983067
399	1.637359	-4.411089554	3.22200162	384.8048579	3.22200162	384.8048579	1	-3.588549	-0.1075818282	0.18	0.108801	0.97668
400	0.777309	-4.441121151	3.78995613	327.1388462	3.78995613	327.1388462	3	-17.830864	-0.534555038	0	0.201494	0.903975
401	1.388347	-4.660101885	3.96193846	312.9381963	4.02482821	308.0483963	1	-13.764564	-0.4126506171	0.5	0.200653	0.895768
402	1.071228	-4.147202132	1.60342917	773.2439316	1.60342917	773.2439316	3	-9.400948	-0.2818329003	0.5	0.120107	0.948415
403	1.380792	-4.633236677	3.86361984	320.9016225	3.86361984	320.9016225	1	-11.389134	-0.341437126	0.5	0.071708	0.928292
404	1.739535	-4.274494059	3.55025406	349.2262397	3.57747047	346.5694227	1	-8.98369	-0.2693238392	0.5	0.097055	0.978266
405	0.964386	-4.254044316	2.34075151	529.6768453	2.34075151	529.6768453	3	-11.930959	-0.3576806061	0.5	0.149474	0.923512
406	1.379785	-4.025210094	2.45845137	504.318243	2.47703665	500.5343282	1	-4.25758	-0.1276388423	0.45	0.279218	0.892521
407	1.115797	-4.289198293	2.71248463	457.0871524	2.75372337	450.2419847	1	-9.228553	-0.2766646361	0.48	0.303305	0.856411
408	0.782526	-4.282910127	4.05401477	305.8306261	4.05401477	305.8306261	1	-11.550195	-0.3462656059	0.5	0.211909	0.911239
409	0.93038	-4.135056079	2.10262977	589.6624756	2.10262977	589.6624756	1	-9.050041	-0.2713129891	0.5	0.152645	0.901996
